manufacturer_name;model_name;transmission;color;odometer_value;year_produced;engine_fuel;engine_has_gas;engine_type;engine_capacity;body_type;has_warranty;state;drive;price_usd;first_user;duration_listed;
Subaru;Outback;automatic;silver;190000;2010;gasoline;FALSE;gasoline;2.5;universal;FALSE;owned;AWD;10900.0;0;16;
Subaru;Outback;automatic;blue;290000;2002;gasoline;FALSE;gasoline;3.0;universal;FALSE;owned;AWD;5000.0;0;83;
Subaru;Forester;automatic;red;402000;2001;gasoline;FALSE;gasoline;2.5;suv;FALSE;owned;AWD;2800.0;0;151;
Subaru;Impreza;mechanical;blue;10000;1999;gasoline;FALSE;gasoline;3.0;sedan;FALSE;owned;AWD;9999.0;0;86;
Subaru;Legacy;automatic;black;280000;2001;gasoline;FALSE;gasoline;2.5;universal;FALSE;owned;AWD;2134.11;0;7;
Subaru;Outback;automatic;silver;132449;2011;gasoline;FALSE;gasoline;2.5;universal;FALSE;owned;AWD;14700.0;0;67;
Subaru;Forester;automatic;black;318280;1998;gasoline;FALSE;gasoline;2.5;universal;FALSE;owned;AWD;3000.0;0;307;
Subaru;Legacy;automatic;silver;350000;2004;gasoline;FALSE;gasoline;2.5;sedan;FALSE;owned;AWD;4500.0;0;73;
Subaru;Outback;automatic;grey;179000;2010;gasoline;FALSE;gasoline;2.5;universal;FALSE;owned;AWD;12900.0;0;87;
Subaru;Forester;automatic;silver;571317;1999;gasoline;FALSE;gasoline;2.5;universal;FALSE;owned;AWD;4200.0;0;43;
Subaru;Forester;mechanical;other;280000;2003;gasoline;FALSE;gasoline;2.0;suv;FALSE;owned;AWD;6900.0;0;11;
Subaru;Tribeca;automatic;grey;256000;2008;gasoline;FALSE;gasoline;3.6;suv;FALSE;owned;AWD;8350.0;0;80;
Subaru;Forester;mechanical;other;321000;2002;gasoline;FALSE;gasoline;2.0;suv;FALSE;owned;AWD;4300.0;0;2;
Subaru;Justy;mechanical;red;49999;2001;gasoline;FALSE;gasoline;1.3;hatchback;FALSE;owned;AWD;1666.0;0;230;
Subaru;Outback;automatic;brown;154685;2011;gasoline;FALSE;gasoline;2.5;universal;FALSE;owned;AWD;8600.0;0;63;
Subaru;Outback;automatic;black;163219;2004;gasoline;FALSE;gasoline;2.0;universal;FALSE;owned;AWD;7300.0;0;35;
Subaru;Outback;automatic;other;318650;2005;gasoline;FALSE;gasoline;3.0;universal;FALSE;owned;AWD;7587.97;0;468;
Subaru;Impreza;mechanical;blue;191000;2005;gasoline;FALSE;gasoline;2.0;sedan;FALSE;owned;AWD;10950.0;0;21;
Subaru;Forester;automatic;silver;179000;2014;gasoline;FALSE;gasoline;2.0;suv;FALSE;owned;AWD;12700.0;0;16;
Subaru;Forester;automatic;black;159000;2013;gasoline;FALSE;gasoline;2.0;suv;FALSE;owned;AWD;16500.0;0;59;
Subaru;Outback;automatic;white;257495;2008;gasoline;FALSE;gasoline;2.5;universal;FALSE;owned;AWD;8700.0;0;13;
Subaru;Tribeca;automatic;silver;241402;2005;gasoline;FALSE;gasoline;3.0;suv;FALSE;owned;AWD;7500.0;0;188;
Subaru;Tribeca;automatic;black;188000;2006;gasoline;FALSE;gasoline;3.0;suv;FALSE;owned;AWD;8650.0;0;37;
Subaru;Forester;automatic;blue;240000;2001;gasoline;FALSE;gasoline;2.5;universal;FALSE;owned;AWD;3500.0;0;86;
Subaru;Legacy;automatic;green;249448;2002;gasoline;FALSE;gasoline;2.5;universal;FALSE;owned;AWD;3800.0;0;67;
Subaru;Tribeca;automatic;other;250000;2007;gasoline;FALSE;gasoline;3.0;suv;FALSE;owned;AWD;7200.0;0;204;
Subaru;Outback;automatic;green;417000;1997;gasoline;FALSE;gasoline;2.0;universal;FALSE;owned;FWD;1850.0;0;71;
Subaru;Outback;automatic;violet;377000;1999;gasoline;FALSE;gasoline;2.5;universal;FALSE;owned;AWD;3800.0;0;21;
Subaru;Impreza;mechanical;black;300000;1999;gasoline;FALSE;gasoline;2.0;universal;FALSE;owned;AWD;3000.0;0;581;
Subaru;Legacy;mechanical;black;270000;2004;gasoline;FALSE;gasoline;2.0;sedan;FALSE;owned;AWD;6200.0;0;48;
