brand;model;generation;version;productionYear;mileage;enginePowerKW;engineCapacity;bodyType;bodyTypeText;fuelType;fuelTypeText;price;currency
Lexus;UX;Inny;Inny;2023;13117.0;135.0;1987.0;SUV;SUV;HYBRID;Hybrydowy;169999;PLN
BMW;Seria 3;Seria 3 Limuzyna (E46, facelift 2001);320i (170 KM);2003;226000.0;125.0;2171.0;SEDAN;Sedan;GASOLINE;Benzyna;21900;PLN
Suzuki;Splash;Splash;1.0 (65 KM);2010;159000.0;48.0;998.0;HATCHBACK;Hatchback;GASOLINE;Benzyna;15900;PLN
Opel;Astra;Astra H;1.4i 16V (90 KM);2005;157000.0;66.0;1400.0;HATCHBACK;Hatchback;GASOLINE;Benzyna;9900;PLN
Chevrolet;Cruze;Inny;Inny;2014;115000.0;91.0;1598.0;KOMBI;Kombi;GASOLINE;Benzyna;30900;PLN
Jaguar;I-Pace;Inny;Inny;2020;58000.0;294.0;;SUV;SUV;EV;Elektryczny;134999;PLN
Peugeot;Boxer;Inny;Inny;2018;177664.0;96.0;2000.0;PANEL_VAN;Furgon;DIESEL;Diesel;65900;PLN
Volkswagen;Beetle;Beetle Convertible (A5, facelift 2016);2.0 TDI (110 KM);2016;83000.0;125.0;1800.0;CABRIO;Cabrio;GASOLINE;Benzyna;56000;PLN
Ford;C-MAX;Inny;Inny;2013;105000.0;92.0;998.0;MINIVAN;Minivan;GASOLINE;Benzyna;27900;PLN
Nissan;Note;Inny;Inny;2006;220000.0;65.0;1400.0;HATCHBACK;Hatchback;GASOLINE;Benzyna;13900;PLN
Citroen;C4;C4 II Hatchback (Phase I, 2010);Inny;2014;247122.0;73.0;1560.0;HATCHBACK;Hatchback;DIESEL;Diesel;21900;PLN
Volkswagen;Transporter;Inny;Inny;1996;540420.0;57.0;2370.0;BUS;Bus;DIESEL;Diesel;8700;PLN
Tesla;Model X;Inny;Inny;2017;64484.0;306.0;;SUV;SUV;EV;Elektryczny;234900;PLN
Opel;Mokka;Mokka X;1.6 CDTI ecoFLEX (136 KM) Start/Stop;2017;184000.0;100.0;1598.0;SUV;SUV;DIESEL;Diesel;49900;PLN
Opel;Insignia;Insignia Sports Tourer (A, facelift 2013);2.0 CDTI (170 KM) Automatic;2015;171380.0;92.0;1956.0;KOMBI;Kombi;DIESEL;Diesel;41500;PLN
Hyundai;i30;i30 II Coupe;1.6 GDI (135 KM);2013;84553.0;99.0;1591.0;HATCHBACK;Hatchback;GASOLINE;Benzyna;28500;PLN
Mercedes-Benz;Klasa G;Inny;Inny;2005;95423.0;218.0;4966.0;SUV;SUV;GASOLINE;Benzyna;299000;PLN
Honda;CR-V;Inny;Inny;2011;199234.0;110.0;1997.0;SUV;SUV;LPG;LPG;39999;PLN
Fiat;Doblo;Inny;Inny;2020;75850.0;77.0;1600.0;OTHER;Nieznany;DIESEL;Diesel;66051;PLN
Hyundai;Tucson;Tucson III;1.7 CRDI (141 KM) DCT;2018;175000.0;104.0;1685.0;SUV;SUV;DIESEL;Diesel;68999;PLN
Ford;B-MAX;B-MAX;1.0 EcoBoost (125 KM);2013;103000.0;91.0;998.0;MINIVAN;Minivan;GASOLINE;Benzyna;28500;PLN
BMW;X3;Inny;Inny;2021;60100.0;135.0;1998.0;SUV;SUV;GASOLINE;Benzyna;149900;PLN
Dacia;Duster;Duster II (facelift 2021);1.5 Blue dCi (116 KM);2021;218000.0;85.0;1461.0;SUV;SUV;DIESEL;Diesel;48000;PLN
Ford;Galaxy;Galaxy III;Inny;2011;200700.0;118.0;1600.0;MINIVAN;Minivan;GASOLINE;Benzyna;33900;PLN
Renault;Modus;Inny;Inny;2009;85263.0;55.0;1149.0;HATCHBACK;Hatchback;GASOLINE;Benzyna;12900;PLN
Volvo;XC60;Inny;Inny;2023;26067.0;144.0;1969.0;SUV;SUV;DIESEL;Diesel;209900;PLN
Mercedes-Benz;Klasa C;Inny;Inny;2019;158000.0;135.0;2000.0;SEDAN;Sedan;GASOLINE;Benzyna;125459;PLN
BMW;Seria 5;Seria 5 Touring (F11);535d (313 KM) Steptronic;2013;164235.0;230.0;2993.0;KOMBI;Kombi;DIESEL;Diesel;87900;PLN
Renault;Scenic;Inny;Inny;2013;157700.0;96.0;1598.0;MINIVAN;Minivan;DIESEL;Diesel;29800;PLN
Volkswagen;Golf;Inny;Inny;2017;64000.0;169.0;2000.0;HATCHBACK;Hatchback;GASOLINE;Benzyna;67000;PLN
Skoda;Superb;Superb III Combi;1.4 TSI (125 KM);2016;110000.0;92.0;1395.0;KOMBI;Kombi;GASOLINE;Benzyna;62900;PLN
